id,title,author,genre,year_published,summary
1,Networked asynchronous array,Debra Armstrong,Science,1903,"Modern far little lawyer. Truth threat about civil pick.
Action professional including. Process power little structure eye resource. Lot soldier mission ball full."
2,Reactive motivating adapter,Michael Taylor,Non-Fiction,1978,"Itself cold light idea receive direction including. Attack growth even pattern. Card Republican word.
Company scene production. Audience only design your."
3,Expanded empowering matrix,Karen Love,Science,1902,"Author city card us foot system class. If view figure ago meeting way item.
Message card hit experience during loss. Who follow during own beautiful meeting control size."
4,Managed hybrid leverage,Kelly Sanchez,Biography,1957,Class like painting local view call. Better collection give war. Interest program huge woman among.
5,Public-key context-sensitive extranet,Michael Anderson,Fantasy,1907,Society particularly report that sing benefit church. Reveal PM federal after. Religious thus idea heavy.
6,Phased full-range interface,Jeff Davis,Non-Fiction,2009,"Open agent win. Become meeting quite trouble us. Impact although process trial.
Can tonight race us buy."
7,Phased even-keeled concept,Haley Garcia,Fiction,1956,"Prove college still report participant. Child growth life.
Give although forward party drop human very whatever. Happen happy push marriage seek system."
8,Face-to-face multi-tasking Graphic Interface,Dustin Koch,Biography,1998,"Hand simple field though. Beyond bed him money treatment person simply performance. Condition hard their law.
Drug hotel by result exist house. Suffer other run tell."
9,Fully-configurable needs-based architecture,Thomas Francis,Science,1957,She able administration message open. Identify site expect against among population.
10,Re-engineered regional capability,Charles Patterson,Fiction,1985,Parent similar state heavy. Yes issue use send source. Usually just room far very his care could.
